X,R1_open Y,R1_short Y,R2_open Y,R2_short Y,R3_open Y,R3_short Y,M1_G-S_short Y,M1_open Y,M1_G-D_short Y,M1_D-S_short Y,M2_D-S_short Y,M2_G-D_short Y,M2_G-S_short Y,M2_open Y,M3_open Y,M3_D-S_short Y,M3_G-D_short Y,M3_G-S_short Y
-1.553,-0.83907,0.6064699831235489,0.99992,-0.83907,-31.482144900063613,0.9999999999999993,0.550636779257303,0.6064699831235489,-0.8572156629459949,-0.83907,0.99992,-0.7731222202369953,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999979,0.99992
-1.552,-0.83907,0.6064699831344159,0.99992,-0.83907,-31.48214490006442,0.9999999999999993,0.550664197777337,0.6064699831344159,-0.8572147003899854,-0.83907,0.99992,-0.7731220335681279,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999979,0.99992
-1.551,-0.83907,0.606469983145283,0.99992,-0.83907,-31.482144900065236,0.9999999999999993,0.5506916139454461,0.606469983145283,-0.8572137318314271,-0.83907,0.99992,-0.7731218464482078,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999978,0.99992
-1.55,-0.83907,0.60646998315615,0.99992,-0.83907,-31.482144900066064,0.9999999999999993,0.5507190277618008,0.60646998315615,-0.8572127572328961,-0.83907,0.99992,-0.7731216588761558,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999978,0.99992
-1.549,-0.83907,0.606469983167017,0.99992,-0.83907,-31.482144900066903,0.9999999999999993,0.5507464392266286,0.606469983167017,-0.8572117765567348,-0.83907,0.99992,-0.7731214708508901,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999978,0.99992
-1.548,-0.83907,0.6064699831778839,0.99992,-0.83907,-31.482144900067752,0.9999999999999993,0.5507738483401283,0.6064699831778839,-0.857210789765051,-0.83907,0.99992,-0.7731212823713264,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999977,0.99992
-1.547,-0.83907,0.606469983188751,0.99992,-0.83907,-31.482144900068608,0.9999999999999993,0.550801255102499,0.606469983188751,-0.8572097968197165,-0.83907,0.99992,-0.7731210934363778,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999977,0.99992
-1.546,-0.83907,0.606469983199618,0.99992,-0.83907,-31.48214490006948,0.9999999999999993,0.5508286595139396,0.606469983199618,-0.8572087976823654,-0.83907,0.99992,-0.773120904044955,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999976,0.99992
-1.545,-0.83907,0.606469983210485,0.99992,-0.83907,-31.48214490007036,0.9999999999999993,0.550856061574649,0.606469983210485,-0.8572077923143926,-0.83907,0.99992,-0.773120714195966,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999976,0.99992
-1.544,-0.83907,0.6064699832213519,0.99992,-0.83907,-31.482144900071255,0.9999999999999993,0.5508834612848261,0.6064699832213519,-0.8572067806769528,-0.83907,0.99992,-0.7731205238883163,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999975,0.99992
