X,robust_vout,R-open_(Vt shift),R_Short,G-D short,G-S short,D-S short
-1.681,2.99E-15,1.49E-11,1.49E-20,2.99E-15,-1.681,1
-1.68,3.02E-15,1.51E-11,1.51E-20,3.02E-15,-1.68,1
-1.679,3.15E-15,1.57E-11,1.57E-20,3.15E-15,-1.679,1
-1.678,3.27E-15,1.64E-11,1.64E-20,3.27E-15,-1.678,1
-1.677,3.40E-15,1.70E-11,1.70E-20,3.40E-15,-1.677,1
-1.676,3.53E-15,1.77E-11,1.77E-20,3.53E-15,-1.676,1
-1.675,3.66E-15,1.83E-11,1.83E-20,3.66E-15,-1.675,1
-1.674,3.79E-15,1.90E-11,1.90E-20,3.79E-15,-1.674,1
-1.673,3.92E-15,1.96E-11,1.96E-20,3.92E-15,-1.673,1
-1.672,4.05E-15,2.03E-11,2.03E-20,4.05E-15,-1.672,1
-1.671,4.18E-15,2.09E-11,2.09E-20,4.18E-15,-1.671,1
-1.67,4.31E-15,2.15E-11,2.15E-20,4.31E-15,-1.67,1
-1.669,4.44E-15,2.22E-11,2.22E-20,4.44E-15,-1.669,1
-1.668,4.57E-15,2.28E-11,2.28E-20,4.57E-15,-1.668,1
-1.667,4.70E-15,2.35E-11,2.35E-20,4.70E-15,-1.667,1
-1.666,4.83E-15,2.41E-11,2.41E-20,4.83E-15,-1.666,1
-1.665,4.96E-15,2.48E-11,2.48E-20,4.96E-15,-1.665,1
-1.664,5.09E-15,2.54E-11,2.54E-20,5.09E-15,-1.664,1
-1.663,5.22E-15,2.61E-11,2.61E-20,5.22E-15,-1.663,1
-1.662,5.35E-15,2.67E-11,2.67E-20,5.35E-15,-1.662,1
-1.661,5.47E-15,2.74E-11,2.74E-20,5.47E-15,-1.661,1
-1.66,5.60E-15,2.80E-11,2.80E-20,5.60E-15,-1.66,1
-1.659,5.73E-15,2.87E-11,2.87E-20,5.73E-15,-1.659,1
-1.658,5.86E-15,2.93E-11,2.93E-20,5.86E-15,-1.658,1
-1.657,5.99E-15,3.00E-11,3.00E-20,5.99E-15,-1.657,1
-1.656,6.12E-15,3.06E-11,3.06E-20,6.12E-15,-1.656,1
