X,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,G-D short(output_correct),G-S short,D-S short,Transistor-open,R4_short
-1.3361659585103722,-0.02062644326984282,-0.787187580234896,-0.8216792108815301,-0.010218368792720244,-0.010218368792720244,-0.010218368792720244,-0.010218368792720244,-0.020626310976400983,-0.82166711479408,-1.3360000042439462,-1.3360000042439462,-1.3360000042439462
-1.335166208447888,-0.02061882249300062,-0.7864924684786166,-0.820967195229351,-0.010218581203504466,-0.010218581203504466,-0.010218581203504466,-0.010218581203504466,-0.020618690292616745,-0.8209551725823899,-1.335000003842265,-1.335000003842265,-1.335000003842265
-1.3341664583854036,-0.02061120166876519,-0.7857973575449799,-0.8202551816173279,-0.010218793568336578,-0.010218793568336578,-0.010218793568336578,-0.010218793568336578,-0.020611069561439422,-0.8202432323984781,-1.3340000034405834,-1.3340000034405834,-1.3340000034405834
-1.3331667083229193,-0.020603580796774164,-0.7851022474403051,-0.8195431700592558,-0.01021900588686343,-0.01021900588686343,-0.01021900588686343,-0.01021900588686343,-0.020603448782506632,-0.8195312942560665,-1.3330000030389022,-1.3330000030389022,-1.3330000030389022
-1.332166958260435,-0.02059595987666235,-0.7844071381709606,-0.8188311605690226,-0.010219218158729244,-0.010219218158729244,-0.010219218158729244,-0.010219218158729244,-0.02059582795545323,-0.8188193581689707,-1.3320000026372212,-1.3320000026372212,-1.3320000026372212
-1.3311672081979504,-0.02058833890806179,-0.7837120297433634,-0.8181191531606102,-0.010219430383575433,-0.010219430383575433,-0.010219430383575433,-0.010219430383575433,-0.020588207079911228,-0.8181074241510986,-1.3310000022355395,-1.3310000022355395,-1.3310000022355395
-1.330167458135466,-0.020580717890601737,-0.7830169221639796,-0.8174071478480951,-0.010219642561040713,-0.010219642561040713,-0.010219642561040713,-0.010219642561040713,-0.020580586155509867,-0.8173954922164532,-1.3300000018338585,-1.3300000018338585,-1.3300000018338585
-1.3291677080729816,-0.020573096823908565,-0.7823218154393251,-0.8166951446456479,-0.01021985469076099,-0.01021985469076099,-0.01021985469076099,-0.01021985469076099,-0.020572965181875555,-0.8166835623791311,-1.329000001432177,-1.329000001432177,-1.329000001432177
-1.3281679580104973,-0.02056547570760581,-0.7816267095759662,-0.8159831435675364,-0.010220066772369385,-0.010220066772369385,-0.010220066772369385,-0.010220066772369385,-0.020565344158631812,-0.8159716346533252,-1.3280000010304958,-1.3280000010304958,-1.3280000010304958
-1.327168207948013,-0.020557854541314147,-0.7809316045805191,-0.8152711446281239,-0.010220278805496193,-0.010220278805496193,-0.010220278805496193,-0.010220278805496193,-0.020557723085399326,-0.8152597090533235,-1.3270000006288145,-1.3270000006288145,-1.3270000006288145
-1.3261684578855286,-0.020550233324651328,-0.7802365004596512,-0.8145591478418706,-0.010220490789768865,-0.010220490789768865,-0.010220490789768865,-0.010220490789768865,-0.020550101961795825,-0.8145477855935108,-1.3260000002271337,-1.3260000002271337,-1.3260000002271337
-1.3251687078230443,-0.02054261205723218,-0.7795413972200806,-0.8138471532233345,-0.010220702724812002,-0.010220702724812002,-0.010220702724812002,-0.010220702724812002,-0.02054248078743618,-0.8138358642883695,-1.3249999998254525,-1.3249999998254525,-1.3249999998254525
-1.3241689577605598,-0.0205349907386686,-0.7788462948685773,-0.8131351607871721,-0.010220914610247302,-0.010220914610247302,-0.010220914610247302,-0.010220914610247302,-0.02053485956193224,-0.8131239451524791,-1.3239999994237712,-1.3239999994237712,-1.3239999994237712
-1.3231692076980754,-0.020527369368569526,-0.7781511934119636,-0.8124231705481386,-0.010221126445693597,-0.010221126445693597,-0.010221126445693597,-0.010221126445693597,-0.020527238284892974,-0.8124120282005186,-1.3229999990220902,-1.3229999990220902,-1.3229999990220902
-1.322169457635591,-0.020519747946540882,-0.7774560928571136,-0.8117111825210888,-0.010221338230766708,-0.010221338230766708,-0.010221338230766708,-0.010221338230766708,-0.020519616955924285,-0.8117001134472653,-1.321999998620409,-1.321999998620409,-1.321999998620409
-1.3211697075731066,-0.020512126472185574,-0.7767609932109547,-0.8109991967209783,-0.010221549965079615,-0.010221549965079615,-0.010221549965079615,-0.010221549965079615,-0.020511995574629106,-0.8109882009075973,-1.320999998218728,-1.320999998218728,-1.320999998218728
-1.3201699575106223,-0.0205045049451035,-0.7760658944804673,-0.8102872131628635,-0.010221761648242247,-0.010221761648242247,-0.010221761648242247,-0.010221761648242247,-0.020504374140607316,-0.8102762905964924,-1.3199999978170474,-1.3199999978170474,-1.3199999978170474
-1.319170207448138,-0.020496883364891458,-0.7753707966726852,-0.809575231861902,-0.010221973279861527,-0.010221973279861527,-0.010221973279861527,-0.010221973279861527,-0.020496752653455748,-0.8095643825290301,-1.3189999974153663,-1.3189999974153663,-1.3189999974153663
-1.3181704573856536,-0.02048926173114324,-0.7746756997946962,-0.808863252833354,-0.01022218485954143,-0.01022218485954143,-0.01022218485954143,-0.01022218485954143,-0.020489131112768136,-0.8088524767203914,-1.3179999970136855,-1.3179999970136855,-1.3179999970136855
-1.317170707323169,-0.020481640043449427,-0.7739806038536429,-0.8081512760925832,-0.010222396386882802,-0.010222396386882802,-0.010222396386882802,-0.010222396386882802,-0.02048150951813512,-0.8081405731858602,-1.3169999966120043,-1.3169999966120043,-1.3169999966120043
-1.3161709572606848,-0.02047401830139757,-0.7732855088567228,-0.8074393016550563,-0.010222607861483504,-0.010222607861483504,-0.010222607861483504,-0.010222607861483504,-0.02047388786914421,-0.8074286719408239,-1.3159999962103235,-1.3159999962103235,-1.3159999962103235
-1.3151712071982002,-0.020466396504571983,-0.7725904148111878,-0.8067273295363445,-0.010222819282938226,-0.010222819282938226,-0.010222819282938226,-0.010222819282938226,-0.020466266165379762,-0.8067167730007734,-1.3149999958086425,-1.3149999958086425,-1.3149999958086425
-1.314171457135716,-0.020458774652553854,-0.7718953217243469,-0.8060153597521251,-0.01022303065083859,-0.01022303065083859,-0.01022303065083859,-0.01022303065083859,-0.02045864440642292,-0.8060048763813045,-1.3139999954069619,-1.3139999954069619,-1.3139999954069619
-1.3131717070732316,-0.020451152744921156,-0.771200229603564,-0.8053033923181805,-0.010223241964773113,-0.010223241964773113,-0.010223241964773113,-0.010223241964773113,-0.020451022591851692,-0.8052929820981185,-1.312999995005281,-1.312999995005281,-1.312999995005281
-1.3121719570107473,-0.02044353078124861,-0.77050513845626,-0.8045914272503993,-0.010223453224327059,-0.010223453224327059,-0.010223453224327059,-0.010223453224327059,-0.020443400721240783,-0.8045810901670226,-1.3119999946036005,-1.3119999946036005,-1.3119999946036005
-1.311172206948263,-0.02043590876110775,-0.7698100482899128,-0.8038794645647781,-0.010223664429082586,-0.010223664429082586,-0.010223664429082586,-0.010223664429082586,-0.02043577879416173,-0.803869200603931,-1.3109999942019197,-1.3109999942019197,-1.3109999942019197
-1.3101724568857787,-0.02042828668406675,-0.7691149591120578,-0.8031675042774211,-0.010223875578618619,-0.010223875578618619,-0.010223875578618619,-0.010223875578618619,-0.020428156810182715,-0.803157313424865,-1.3099999938002391,-1.3099999938002391,-1.3099999938002391
-1.3091727068232941,-0.020420664549690548,-0.7684198709302879,-0.8024555464045413,-0.010224086672510815,-0.010224086672510815,-0.010224086672510815,-0.010224086672510815,-0.02042053476886868,-0.8024454286459545,-1.3089999933985583,-1.3089999933985583,-1.3089999933985583
-1.3081729567608096,-0.020413042357540705,-0.7677247837522546,-0.801743590962461,-0.010224297710331605,-0.010224297710331605,-0.010224297710331605,-0.010224297710331605,-0.020412912669781184,-0.8017335462834385,-1.3079999929968775,-1.3079999929968775,-1.3079999929968775
-1.3071732066983253,-0.02040542010717547,-0.7670296975856684,-0.8010316379676131,-0.010224508691650145,-0.010224508691650145,-0.010224508691650145,-0.010224508691650145,-0.02040529051247847,-0.8010216663536657,-1.3069999925951972,-1.3069999925951972,-1.3069999925951972
-1.306173456635841,-0.020397797798149715,-0.7663346124382985,-0.8003196874365412,-0.010224719616032224,-0.010224719616032224,-0.010224719616032224,-0.010224719616032224,-0.020397668296515424,-0.800309788873095,-1.3059999921935166,-1.3059999921935166,-1.3059999921935166
-1.3051737065733566,-0.020390175430014874,-0.765639528317974,-0.7996077393859007,-0.010224930483040379,-0.010224930483040379,-0.010224930483040379,-0.010224930483040379,-0.020390046021443453,-0.7995979138582965,-1.3049999917918362,-1.3049999917918362,-1.3049999917918362
-1.3041739565108723,-0.020382553002318962,-0.7649444452325841,-0.7988957938324589,-0.010225141292233696,-0.010225141292233696,-0.010225141292233696,-0.010225141292233696,-0.020382423686810612,-0.7988860413259525,-1.3039999913901557,-1.3039999913901557,-1.3039999913901557
-1.303174206448388,-0.02037493051460656,-0.7642493631900784,-0.7981838507930971,-0.010225352043167933,-0.010225352043167933,-0.010225352043167933,-0.010225352043167933,-0.020374801292161467,-0.7981741712928578,-1.3029999909884753,-1.3029999909884753,-1.3029999909884753
-1.3021744563859035,-0.02036730796641876,-0.7635542821984678,-0.79747191028481,-0.010225562735395414,-0.010225562735395414,-0.010225562735395414,-0.010225562735395414,-0.020367178837037085,-0.7974623037759209,-1.3019999905867947,-1.3019999905867947,-1.3019999905867947
-1.3011747063234191,-0.02035968535729312,-0.7628592022658248,-0.7967599723247071,-0.010225773368465012,-0.010225773368465012,-0.010225773368465012,-0.010225773368465012,-0.020359556320975063,-0.7967504387921642,-1.3009999901851146,-1.3009999901851146,-1.3009999901851146
-1.3001749562609346,-0.020352062686763685,-0.7621641234002833,-0.7960480369300132,-0.010225983941922171,-0.010225983941922171,-0.010225983941922171,-0.010225983941922171,-0.020351933743509416,-0.7960385763587253,-1.299999989783434,-1.299999989783434,-1.299999989783434
-1.2991752061984503,-0.02034443995436093,-0.7614690456100405,-0.7953361041180703,-0.010226194455308821,-0.010226194455308821,-0.010226194455308821,-0.010226194455308821,-0.020344311104170665,-0.7953267164928577,-1.2989999893817539,-1.2989999893817539,-1.2989999893817539
-1.298175456135966,-0.020336817159611748,-0.7607739689033558,-0.7946241739063366,-0.01022640490816334,-0.01022640490816334,-0.01022640490816334,-0.01022640490816334,-0.02033668840248566,-0.7946148592119313,-1.2979999889800735,-1.2979999889800735,-1.2979999889800735
-1.2971757060734816,-0.020329194302039392,-0.7600788932885525,-0.7939122463123881,-0.010226615300020612,-0.010226615300020612,-0.010226615300020612,-0.010226615300020612,-0.0203290656379777,-0.7939030045334332,-1.2969999885783934,-1.2969999885783934,-1.2969999885783934
-1.2961759560109973,-0.02032157138116351,-0.7593838187740173,-0.7932003213539197,-0.010226825630411893,-0.010226825630411893,-0.010226825630411893,-0.010226825630411893,-0.02032144281016636,-0.7931911524749686,-1.2959999881767132,-1.2959999881767132,-1.2959999881767132
-1.2951762059485128,-0.02031394839650005,-0.7586887453682019,-0.7924883990487458,-0.010227035898864924,-0.010227035898864924,-0.010227035898864924,-0.010227035898864924,-0.020313819918567656,-0.7924793030542622,-1.2949999877750331,-1.2949999877750331,-1.2949999877750331
-1.2941764558860285,-0.02030632534756123,-0.7579936730796223,-0.7917764794148008,-0.01022724610490369,-0.01022724610490369,-0.01022724610490369,-0.01022724610490369,-0.02030619696269379,-0.7917674562891578,-1.293999987373353,-1.293999987373353,-1.293999987373353
-1.293176705823544,-0.02029870223385559,-0.7572986019168605,-0.79106456247014,-0.01022745624804865,-0.01022745624804865,-0.01022745624804865,-0.01022745624804865,-0.020298573942053318,-0.7910556121976197,-1.2929999869716726,-1.2929999869716726,-1.2929999869716726
-1.2921769557610596,-0.020291079054887903,-0.756603531888564,-0.7903526482329415,-0.01022766632781648,-0.01022766632781648,-0.01022766632781648,-0.01022766632781648,-0.02029095085615097,-0.7903437707977343,-1.2919999865699927,-1.2919999865699927,-1.2919999865699927
-1.2911772056985753,-0.020283455810159143,-0.7559084630034466,-0.789640736721505,-0.010227876343720192,-0.010227876343720192,-0.010227876343720192,-0.010227876343720192,-0.020283327704487746,-0.7896319321077094,-1.2909999861683128,-1.2909999861683128,-1.2909999861683128
